y_in_ch,AG,Gesamt-Schweiz,Rest-Schweiz
0,0.01809954751131222,0.04167243527620102,0.043484743067289534
1,0.10547550432276658,0.1356844473007712,0.1379474115970813
2,0.27257019438444924,0.2756809655847333,0.27593507410021173
3,0.414274322169059,0.4017444529456771,0.4007027546656943
4,0.5263752825923135,0.500377709338137,0.49820551567812615
5,0.6203248961088024,0.5810065594705984,0.5777344609677115
6,0.664818763326226,0.6325162035551563,0.629887928940703
7,0.7071018967798853,0.6733390682901006,0.670601280537969
8,0.7376261412782317,0.7073274486865894,0.7049142682180036
9,0.758961038961039,0.7306726525642977,0.728437127960918
10,0.775609756097561,0.7426427482706062,0.7400808693454637
11,0.7828539199097575,0.7440795092786707,0.741213258286429
12,0.7928730512249443,0.7396538002387585,0.735831956069734
13,0.7902946273830156,0.7402436273404015,0.7367595608637953
14,0.7892603850050659,0.7397762345679012,0.7364229316855475
15,0.7872105843439912,0.7388786894506426,0.7355714824594493
16,0.7742718446601942,0.7372471241570805,0.7346574993633818
17,0.770516717325228,0.735357073360576,0.732952182952183
18,0.7622080679405521,0.726530612244898,0.7240878034598052
19,0.7827586206896552,0.7166906179429275,0.7125081859855926
20,0.7898089171974523,0.7246127366609294,0.7208879184861717
