years_in_ch,AG,Gesamt-Schweiz,Rest-Schweiz
0,0.6961020773360305,0.7128108524666364,0.7138576876394307
1,0.8320630835725362,0.8000812878633925,0.7985448045980592
2,0.8625799353640927,0.8294323063979965,0.8279519109604643
3,0.8739347218784257,0.8472263138082846,0.8460565877727237
4,0.8811713634022514,0.8604753445212922,0.8594636458644371
5,0.892470174066106,0.8709008144892134,0.8697606399600025
6,0.8984812150279776,0.8762207152275859,0.8750186060735636
7,0.8981755880718651,0.8783172692498865,0.8774517937352596
8,0.8959382008472464,0.8780834290624973,0.877221553950988
9,0.8982889230280235,0.8786389711908215,0.8776340719416398
10,0.8991766089732818,0.8812451256315486,0.8804215861838711
11,0.8966742981082058,0.881904650670482,0.8811264886794922
12,0.9023235486925486,0.8828196215091657,0.8816766666015206
13,0.9016480595427964,0.8830477660215418,0.8819258127372767
14,0.8999139969898946,0.8824899961275332,0.88169007968387
15,0.899672988881622,0.8823362048526041,0.8813897409528538
16,0.9028173472617917,0.8824545222629957,0.8813538760160136
17,0.9058182525783226,0.8835398891449212,0.8822959792295277
18,0.9112124463519313,0.8848720126167657,0.883078547132189
19,0.9121711992866697,0.8846652755061756,0.8831337927530248
20,0.9151572926596759,0.8769768297168077,0.8739013080489999
